Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
S;"Ramachandran, V; Tisha; Anuradha, J; Tripathy, BK";;"Ao, SI; Douglas, C; Grundfest, WS; Burgstone, J";;"Ramachandran, Varun; Tisha; Anuradha, J.; Tripathy, B. K.";;;Diagnosis of Learning Disability using WISC-R: A Comparative Study between ANN and SVM Algorithm;WORLD CONGRESS ON ENGINEERING AND COMPUTER SCIENCE, VOLS 1 AND 2;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering and Computer Science (WCECS)/International Conference on Advances in Engineering Technologies;OCT 20-22, 2010;San Francisco, CA;Int Assoc Engineers (IAENG), IAENG Soc Artificial Intelligence, IAENG Soc Bioinformat, IAENG Soc Chem Engn, IAENG Soc Comp Sci, IAENG Soc Data Min, IAENG Soc Elect Engn, IAENG Soc Imaging Engn, IAENG Soc Ind Engn, IAENG Soc Internet Comp & Web Serv, IAENG Soc Oper Res, IAENG Soc Sci Comp, IAENG Soc Software Engn, IAENG Soc Wireless Networks, IAENG Soc HIV/AIDS;;;;;;;;Tripathy, B. K./O-1604-2018;Tripathy, B. K./0000-0003-3455-4549;;;;;;;;;;;;2078-0958;;978-988-17012-0-6;;;;2010;;;;;;;541;+;;;;;;;;;WOS:000292889100101;;;;;;
S;Gallova, S;;;IAENG;Gallova, Stefania;;;Contribution to Incomplete and Noisy Information Problem Solving by Artificial Intelligence Principles Applying;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;21;28;;;;;;;;;WOS:000394059800005;;;;;;
S;"Ahmed, A; Abdullah, U; Sawar, MJ";;;IAENG;"Ahmed, Aftab; Abdullah, Umair; Sawar, Mohammad J.";;;Software Architecture of a Learning Apprentice System in Medical Billing;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;52;56;;;;;;;;;WOS:000394059800010;;;;;;
S;"Ribeiro, J; Machado, J; Abelha, A; Fernandez-Delgado, M; Neves, J";;;IAENG;"Ribeiro, Jorge; Machado, Jose; Abelha, Antonio; Fernandez-Delgado, Manuel; Neves, Jose";;;Integrating Incomplete Information into the Relational Data Model;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;"Machado, J. A. Tenreiro/M-2173-2013; Abelha, Antonio/B-6470-2009; Machado, Jose/B-5887-2009; Fernandez-Delgado, M./J-7699-2019; NEVES, JOSE/M-4203-2013";"Machado, J. A. Tenreiro/0000-0003-4274-4879; Abelha, Antonio/0000-0001-6457-0756; Machado, Jose/0000-0003-4121-6169; Fernandez-Delgado, M./0000-0001-5483-9424; NEVES, JOSE/0000-0002-8863-0351; Ribeiro, Jorge/0000-0003-1874-7340";;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;57;62;;;;;;;;;WOS:000394059800011;;;;;;
S;"Sawar, MJ; Abdullah, U; Ahmed, A";;;IAENG;"Sawar, Mohammad J.; Abdullah, Umair; Ahmed, Aftab";;;Enhanced Design of a Rule Based Engine Implemented using Structured Query Language;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;67;71;;;;;;;;;WOS:000394059800013;;;;;;
S;"Barzilay, O; Wolf, A";;"Dossel, O; Schlegel, WC";;"Barzilay, O.; Wolf, A.";;;An Adaptive Virtual Biofeedback System for Neuromuscular Rehabilitation;WORLD CONGRESS ON MEDICAL PHYSICS AND BIOMEDICAL ENGINEERING, VOL 25, PT 4: IMAGE PROCESSING, BIOSIGNAL PROCESSING, MODELLING AND SIMULATION, BIOMECHANICS;IFMBE Proceedings;;;;11th International Congress of the IUPESM/World Congress on Medical Physics and Biomedical Engineering;SEP 07-12, 2009;Munich, GERMANY;IUPESM, Int Org Med Phys (IOMP);;;;;;;;Wolf, Alon/H-7658-2014;Wolf, Alon/0000-0002-4595-0240;;;;;;;;;;;;1680-0737;;978-3-642-03881-5;;;;2010;25;;4;;;;1291;1294;;;;;;;;;WOS:000300975300342;;;;;;
J;"Sarkar, S; Dong, A; Gero, JS";;;;"Sarkar, Somwrita; Dong, Andy; Gero, John S.";;;Learning symbolic formulations in design: Syntax, semantics, and knowledge reification;AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;;;;;3rd International Conference on Design Computing and Cognition;JUN 23-25, 2008;Georgia Inst Technol, Atlanta, GA;;Georgia Inst Technol;;;;;;;Gero, John/W-2722-2019;;;;;;;;;;;;;0890-0604;1469-1760;;;;FEB;2010;24;1;;;;;63;85;;10.1017/S0890060409990175;;;;;;;WOS:000274375100006;;;;;;
J;"Rusinowski, H; Stanek, W";;;;"Rusinowski, Henryk; Stanek, Wojciech";;;Hybrid model of steam boiler;ENERGY;;;;;21st International Conference on Efficiency, Cost, Optimization, Simulation and Environmental Impact of Energy Systems;JUN 24-27, 2008;Cracow, POLAND;AGH Univ Sci & Technol, Silesian Univ Technol;;;;;;;;;;;;;;;;;;;;;0360-5442;1873-6785;;;;FEB;2010;35;2;;;SI;;1107;1113;;10.1016/j.energy.2009.06.004;;;;;;;WOS:000275166900073;;;;;;
J;Karatzas, KD;;;;Karatzas, Kostas D.;;;ARTIFICIAL INTELLIGENCE APPLICATIONS IN THE ATMOSPHERIC ENVIRONMENT: STATUS AND FUTURE TRENDS;ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL;;;;;1st International Workshop on Artificial Intelligence Applications in Environmental Protection;APR 23-25, 2009;Thessaloniki, GREECE;;;;;;;;;Karatzas, Kostas/C-1517-2010;Karatzas, Kostas/0000-0002-1033-5985;;;;;;;;;;;;1582-9596;1843-3707;;;;FEB;2010;9;2;;;;;171;180;;;;;;;;;WOS:000276559000001;;;;;;
J;"Oprea, M; Dunea, D";;;;"Oprea, Mihaela; Dunea, Daniel";;;SBC-MEDIU: A MULTI-EXPERT SYSTEM FOR ENVIRONMENTAL DIAGNOSIS;ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL;;;;;1st International Workshop on Artificial Intelligence Applications in Environmental Protection;APR 23-25, 2009;Thessaloniki, GREECE;;;;;;;;;"Dunea, Daniel/V-5270-2018; Oprea, Mihaela/B-8554-2012";"Dunea, Daniel/0000-0002-9423-585X; ";;;;;;;;;;;;1582-9596;1843-3707;;;;FEB;2010;9;2;;;;;205;213;;10.30638/eemj.2010.030;;;;;;;WOS:000276559000005;;;;;;
J;"Bahrepour, M; Meratnia, N; Havinga, PJM";;;;"Bahrepour, Majid; Meratnia, Nirvana; Havinga, Paul J. M.";;;FAST AND ACCURATE RESIDENTIAL FIRE DETECTION USING WIRELESS SENSOR NETWORKS;ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL;;;;;1st International Workshop on Artificial Intelligence Applications in Environmental Protection;APR 23-25, 2009;Thessaloniki, GREECE;;;;;;;;;;;;;;;;;;;;;;1582-9596;1843-3707;;;;FEB;2010;9;2;;;;;215;221;;10.30638/eemj.2010.031;;;;;;;WOS:000276559000006;;;;;;
J;"Bartak, R; Salido, MA; Rossi, F";;;;"Bartak, Roman; Salido, Miguel A.; Rossi, Francesca";;;Constraint satisfaction techniques in planning and scheduling;JOURNAL OF INTELLIGENT MANUFACTURING;;;;;CP/ICAPS 2007 Joint Workshop on Constraint Satisfaction Techniques for Planning and Scheduling Problems;SEP 23, 2007;Providence, RI;;;;;;;;;"Rossi, Francesca/AAZ-1857-2020; Bartak, Roman/N-8554-2017; Salido, Miguel A/L-6714-2015";"Bartak, Roman/0000-0002-6717-8175; Salido, Miguel A/0000-0002-4835-4057";;;;;;;;;;;;0956-5515;1572-8145;;;;FEB;2010;21;1;;;SI;;5;15;;10.1007/s10845-008-0203-4;;;;;;;WOS:000273788200002;;;;;;
J;"Mandow, L; de la Cruz, JLP";;;;"Mandow, L.; Perez de la Cruz, J. L.";;;Path recovery in frontier search for multiobjective shortest path problems;JOURNAL OF INTELLIGENT MANUFACTURING;;;;;CP/ICAPS 2007 Joint Workshop on Constraint Satisfaction Techniques for Planning and Scheduling Problems;SEP 23, 2007;Providence, RI;;;;;;;;;"; Mandow Andaluz, Lorenzo/M-5547-2014";"Perez de la Cruz Molina, Jose Luis/0000-0002-7743-323X; Mandow Andaluz, Lorenzo/0000-0002-8141-498X";;;;;;;;;;;;0956-5515;1572-8145;;;;FEB;2010;21;1;;;SI;;89;99;;10.1007/s10845-008-0169-2;;;;;;;WOS:000273788200008;;;;;;
J;"Wo, MNA; Zhang, MY";;;;"Wo, Maonian; Zhang, Mingyi";;;Algorithms and application in decision-making for the finest splitting of a set of formulae;KNOWLEDGE-BASED SYSTEMS;;;;;8th International FLINS Conference on Computational Intelligence in Decision and Control;SEP 21-24, 2008;Madrid, SPAIN;FLINS;;;;;;;;;;;;;;;;;;;;;0950-7051;1872-7409;;;;FEB;2010;23;1;;;SI;;70;76;;10.1016/j.knosys.2009.08.001;;;;;;;WOS:000273385100010;;;;;;
J;Kasparov, G;;;;Kasparov, Garry;;;Chess Metaphors: Artificial Intelligence and the Human Mind;NEW YORK REVIEW OF BOOKS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0028-7504;;;;;FEB 11;2010;57;2;;;;;16;19;;;;;;;;;WOS:000273714500012;;;;;;
J;Mensch, J;;;;Mensch, James;;;The temporality of Merleau-Ponty's intertwining;CONTINENTAL PHILOSOPHY REVIEW;;;;;;;;;;;;;;;;Mensch, James/P-9291-2017;Mensch, James/0000-0001-5644-0580;;;;;;;;;;;;1387-2842;1573-1103;;;;MAR;2010;42;4;;;;;449;463;;10.1007/s11007-009-9128-7;;;;;;;WOS:000275427500002;;;;;;
J;Grimstad, P;;;;Grimstad, Paul;;;Antebellum AI: Maelzel's Chess-Player and Poe's Reverse Constraints;POETICS TODAY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0333-5372;;;;;SPR;2010;31;1;;;;;107;125;;10.1215/03335372-2009-016;;;;;;;WOS:000275711100005;;;;;;
J;"Wegerif, R; McLaren, BM; Chamrada, M; Scheuer, O; Mansour, N; Miksatko, J; Williams, M";;;;"Wegerif, Rupert; McLaren, Bruce M.; Chamrada, Marian; Scheuer, Oliver; Mansour, Nasser; Miksatko, Jan; Williams, Mriga";;;Exploring creative thinking in graphically mediated synchronous dialogues;COMPUTERS & EDUCATION;;;;;Symposium on Learning in Digital Worlds;MAR 23-25, 2009;Brighton, ENGLAND;;;;;;;;;;Wegerif, Rupert/0000-0003-2278-2245;;;;;;;;;;;;0360-1315;1873-782X;;;;APR;2010;54;3;;;SI;;613;621;;10.1016/j.compedu.2009.10.015;;;;;;;WOS:000275220700002;;;;;;
J;Crnkovic, GD;;;;Crnkovic, Gordana Dodig;;;The Cybersemiotics and Info-Computationalist Research Programmes as Platforms for Knowledge Production in Organisms and Machines;ENTROPY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1099-4300;;;;APR;2010;12;4;;;;;878;901;;10.3390/e12040878;;;;;;;WOS:000277109500009;;;;;;
J;Bringsjord, S;;;;Bringsjord, Selmer;;;MEETING FLORIDI'S CHALLENGE TO ARTIFICIAL INTELLIGENCE FROM THE KNOWLEDGE-GAME TEST FOR SELF-CONSCIOUSNESS;METAPHILOSOPHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0026-1068;1467-9973;;;;APR;2010;41;3;;;SI;;292;312;;10.1111/j.1467-9973.2010.01639.x;;;;;;;WOS:000276863600004;;;;;;
J;"Metoyer, R; Stumpf, S; Neumann, C; Dodge, J; Cao, J; Schnabel, A";;;;"Metoyer, Ronald; Stumpf, Simone; Neumann, Christoph; Dodge, Jonathan; Cao, Jill; Schnabel, Aaron";;;Explaining how to play real-time strategy games;KNOWLEDGE-BASED SYSTEMS;;;;;29th SGAI International Conference on Innovative Techniques and Applications of Artificial Intelligence;DEC 15-17, 2009;Cambridge, ENGLAND;British Comp Soc Specialist Grp Artificial Intelligence;;;;;;;;;Stumpf, Simone/0000-0001-6482-1973;;;;;;;;;;;;0950-7051;1872-7409;;;;MAY;2010;23;4;;;SI;;295;301;;10.1016/j.knosys.2009.11.006;;;;;;;WOS:000277920600003;;;;;;
J;"Shakya, S; Chin, CM; Owusu, G";;;;"Shakya, S.; Chin, C. M.; Owusu, G.";;;An AI-based system for pricing diverse products and services;KNOWLEDGE-BASED SYSTEMS;;;;;29th SGAI International Conference on Innovative Techniques and Applications of Artificial Intelligence;DEC 15-17, 2009;Cambridge, ENGLAND;British Comp Soc Specialist Grp Artificial Intelligence;;;;;;;;;Shakya, Siddhartha/0000-0002-9924-9222;;;;;;;;;;;;0950-7051;1872-7409;;;;MAY;2010;23;4;;;SI;;357;362;;10.1016/j.knosys.2009.11.013;;;;;;;WOS:000277920600012;;;;;;
J;Cristianini, N;;;;Cristianini, Nello;;;Are we there yet?;NEURAL NETWORKS;;;;;18th International Conference on Artificial Neural Networks (ICANN 2008);SEP 03-06, 2008;Prague, CZECH REPUBLIC;;;;;;;;;Cristianini, Marcelo/D-1258-2012;Cristianini, Marcelo/0000-0001-7740-0449;;;;;;;;;;;;0893-6080;1879-2782;;;;MAY;2010;23;4;;;SI;;466;470;;10.1016/j.neunet.2010.01.006;;;;;;;WOS:000277227900002;20211540;;;;;
J;Rhee, J;;;;Rhee, Jennifer;;;Misidentification's Promise: the Turing Test in Weizenbaum, Powers, and Short;POSTMODERN CULTURE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1053-1920;;;;;MAY;2010;20;3;;;;;;;;;;;;;;;WOS:000292940300003;;;;;;
J;"Lobos, D; Donath, D";;;;"Lobos, Danny; Donath, Dirk";;;The problem of space layout in architecture: A survey and reflections;ARQUITETURA REVISTA;;;;;;;;;;;;;;;;Lobos, Danny/L-8551-2016;Lobos, Danny/0000-0002-5656-576X;;;;;;;;;;;;1808-5741;;;;;JUL-DEC;2010;6;2;;;;;136;161;;10.4013/arq.2010.62.05;;;;;;;WOS:000297930300005;;;;;;
J;"Palombarini, J; Martinez, E";;;;"Palombarini, J.; Martinez, E.";;;LEARNING TO REPAIR PLANS AND SCHEDULES USING A RELATIONAL (DEICTIC) REPRESENTATION;BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING;;;;;10th International Symposium on Process Systems Engineering;AUG 16-20, 2009;Salvador, BRAZIL;;;;;;;;;;;;;;;;;;;;;;0104-6632;1678-4383;;;;JUL-SEP;2010;27;3;;;SI;;413;427;;10.1590/S0104-66322010000300006;;;;;;;WOS:000284294900006;;;;;;
J;Zebrowski, RL;;;;Zebrowski, Robin L.;;;In Dialogue With the World Merleau-Ponty, Rodney Brooks and Embodied Artificial Intelligence;JOURNAL OF CONSCIOUSNESS STUDIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1355-8250;;;;;JUL-AUG;2010;17;7-8;;;SI;;156;172;;;;;;;;;WOS:000280503600009;;;;;;
J;"Goldstein, D; Shehab, T; Casse, J; Lin, HC";;;;"Goldstein, Darin; Shehab, Tariq; Casse, Juan; Lin, Hsiu-Chin";;;On the formulation and solution of the convoy routing problem;TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW;;;;;2nd National Urban Freight Conference;DEC 05-07, 2007;Long Beach, CA;METRANS Transportat Ctr;;;;;;;;;;;;;;;;;;;;;1366-5545;;;;;JUL;2010;46;4;;;SI;;520;533;;10.1016/j.tre.2009.04.003;;;;;;;WOS:000277235200005;;;;;;
J;Erden, YJ;;;;Erden, Y. J.;;;Could a Created Being Ever be Creative? Some Philosophical Remarks on Creativity and AI Development;MINDS AND MACHINES;;;;;;;;;;;;;;;;;Erden, Yasemin J./0000-0001-9958-6643;;;;;;;;;;;;0924-6495;;;;;AUG;2010;20;3;;;;;349;362;;10.1007/s11023-010-9202-2;;;;;;;WOS:000284547500002;;;;;;
J;"Grant, J; Kraus, S; Perlis, D; Wooldridge, M";;;;"Grant, John; Kraus, Sarit; Perlis, Donald; Wooldridge, Michael";;;Postulates for revising BDI structures;SYNTHESE;;;;;;;;;;;;;;;;Wooldridge, Michael J/A-1329-2012;;;;;;;;;;;;;0039-7857;;;;;AUG;2010;175;;;1;;;39;62;;10.1007/s11229-010-9735-1;;;;;;;WOS:000282012000004;;;;;;
J;"Kruse, R; Steinbrecher, M";;;;"Kruse, R.; Steinbrecher, M.";;;Visual data analysis with computational intelligence methods;BULLETIN OF THE POLISH ACADEMY OF SCIENCES-TECHNICAL SCIENCES;;;;;1st Polish-German Workshop on Research Cooperation in Computer Science;JUN 15, 2009;Krakow, POLAND;;;;;;;;;;;;;;;;;;;;;;0239-7528;2300-1917;;;;SEP;2010;58;3;;;;;393;401;;10.2478/v10175-010-0037-z;;;;;;;WOS:000284922000006;;;;;;
J;Wallach, W;;;;Wallach, Wendell;;;Robot minds and human ethics: the need for a comprehensive model of moral decision making;ETHICS AND INFORMATION TECHNOLOGY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1388-1957;1572-8439;;;;SEP;2010;12;3;;;SI;;243;250;;10.1007/s10676-010-9232-8;;;;;;;WOS:000280781400005;;;;;;
J;"Zhang, XH; Wang, D; Ren, LQ; Liu, PP";;;;"Zhang, Xianghe; Wang, Dan; Ren, Luquan; Liu, Pingping";;;Biomimetic Construction of Category Mental Imagery Based on Recognition Mechanism of Visual Cortex of Human Brain;JOURNAL OF BIONIC ENGINEERING;;;;;3rd International Conference of Bionic Engineering (ICBE 10);SEP 14-16, 2010;Zhuhai, PEOPLES R CHINA;Natl Nat Sci Fdn, Minist Sci Tech, Nottingham Univ, Jilin Univ;;;;;;;;ren, luquan/AAB-3592-2020;;;;;;;;;;;;;1672-6529;2543-2141;;;;SEP;2010;7;;;S;;;S238;S242;;10.1016/S1672-6529(09)60241-9;;;;;;;WOS:000282392000032;;;;;;
J;"Costa, RZV; Possetti, GRC; de Arruda, LVR; Muller, M; Fabris, JL";;;;"Costa, R. Z. V.; Possetti, G. R. C.; de Arruda, L. V. R.; Muller, M.; Fabris, J. L.";;;Curvature vector smart sensing with a long-period fibre grating probed by artificial intelligence;MEASUREMENT SCIENCE AND TECHNOLOGY;;;;;20th International Conference on Optical Fibre Sensors (OFS);OCT 05-09, 2009;Edinburgh, SCOTLAND;;;;;;;;;"8, INCT/H-6363-2013; Arruda, Lucia Valeria/AAV-2359-2020; 51, INCT/H-6644-2013; Muller, Marcia/N-1128-2016; Arruda, Lucia V R/G-2288-2010; Possetti, Gustavo/AAN-9676-2020; Fotonica, INCT/H-9159-2013";"Arruda, Lucia Valeria/0000-0002-5704-8131; Muller, Marcia/0000-0002-4463-3526; Arruda, Lucia V R/0000-0002-5704-8131; Possetti, Gustavo/0000-0001-8816-5632; Fabris, Jose Luis/0000-0001-5630-1193";;;;;;;;;;;;0957-0233;1361-6501;;;;SEP;2010;21;9;;;SI;;;;94027;10.1088/0957-0233/21/9/094027;;;;;;;WOS:000280558500028;;;;;;
J;Dear, P;;;;Dear, Peter;;;Divine Illumination, Mechanical Calculators, and the Roots of Modern Reason;SCIENCE IN CONTEXT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0269-8897;;;;;SEP;2010;23;3;;;;;351;366;;10.1017/S0269889710000116;;;;;;;WOS:000281274800004;20973342;;;;;
J;Samuels, R;;;;Samuels, Richard;;;Classical computationalism and the many problems of cognitive relevance;STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE;;;;;Conference on Computation and Cognitive Science;JUL 07-08, 2008;Kings Coll, Cambridge, ENGLAND;British Acad, British Soc Philosophy Sci, Kings Coll, Microsoft Res;Kings Coll;;;;;;;;;;;;;;;;;;;;0039-3681;;;;;SEP;2010;41;3;;;SI;;280;293;;10.1016/j.shpsa.2010.07.006;;;;;;;WOS:000283685800008;;;;;;
J;"Palacios, AM; Sanchez, L; Couso, I";;;;"Palacios, Ana M.; Sanchez, Luciano; Couso, Ines";;;Diagnosis of dyslexia with low quality data with genetic fuzzy systems;INTERNATIONAL JOURNAL OF APPROXIMATE REASONING;;;;;Annual Meeting of the North-American-Fuzzy-Information-Processing-Society;JUN 24-27, 2007;San Diego, CA;N Amer Fuzzy Informat Proc Soc, IEEE;;;;;;;;"Couso, Ines/L-2134-2014; Sanchez, Luciano/K-8715-2014";"Sanchez, Luciano/0000-0002-2446-1915; Couso, Ines/0000-0002-1675-6203";;;;;;;;;;;;0888-613X;1873-4731;;;;OCT;2010;51;8;;;;;993;1009;;10.1016/j.ijar.2010.07.008;;;;;;;WOS:000282867600011;;;;;;
J;"Lee, JH; Wong, W";;;;"Lee, Jay H.; Wong, Weechin";;;Approximate dynamic programming approach for process control;JOURNAL OF PROCESS CONTROL;;;;;IFAC Symposium on Advanced Control of Chemical Processes (ADCHEM);JUL 12-15, 2009;Istanbul, TURKEY;;;;;;;;;Lee, Jay Hyung/C-1808-2011;Lee, Jay Hyung/0000-0001-6134-6118;;;;;;;;;;;;0959-1524;1873-2771;;;;OCT;2010;20;9;;;;;1038;1048;;10.1016/j.jprocont.2010.06.007;;;;;;;WOS:000282868600008;;;;;;
J;"Gonzalez, S; Vega, J; Murari, A; Pereira, A; Ramirez, JM; Dormido-Canto, S";;;;"Gonzalez, S.; Vega, J.; Murari, A.; Pereira, A.; Ramirez, J. M.; Dormido-Canto, S.";;JET-EFDA Contributors;Support vector machine-based feature extractor for L/H transitions in JET;REVIEW OF SCIENTIFIC INSTRUMENTS;;;;;18th Topical Conference on High-Temperature Plasma Diagnostics;MAY 16-20, 2010;Wildwood, NJ;;;;;;;;;"Dormido-Canto, Sebastian/G-9207-2015; Pereira, Augusto/L-1133-2017; Bencomo, Sebastian Dormido/K-6918-2014; Vega, Jesus/H-1530-2015";"Dormido-Canto, Sebastian/0000-0001-7652-5338; Pereira, Augusto/0000-0001-7945-6569; Bencomo, Sebastian Dormido/0000-0002-2405-8771; Vega, Jesus/0000-0002-1622-3984";;;;;;;;;;;;0034-6748;1089-7623;;;;OCT;2010;81;10;;;;;;;1E+124;10.1063/1.3502327;;;;;;;WOS:000283754000182;21061485;;;;;
J;"Lim, DH; Bae, IH; Na, MG; Kim, JW";;;;"Lim, Dong Hyuk; Bae, In Ho; Na, Man Gyun; Kim, Jin Weon";;;Prediction of residual stress in the welding zone of dissimilar metals using data-based models and uncertainty analysis;NUCLEAR ENGINEERING AND DESIGN;;;;;4th International Topical Meeting on High Temperature Reactor Technology;SEP 28-OCT 01, 2008;Washington, DC;;;;;;;;;;;;;;;;;;;;;;0029-5493;1872-759X;;;;OCT;2010;240;10;;;;;2555;2564;;10.1016/j.nucengdes.2010.05.036;;;;;;;WOS:000284079000022;;;;;;
J;Shostak, S;;;;Shostak, Seth;;;What ET will look like and why should we care;ACTA ASTRONAUTICA;;;;;60th International Astronautical Congress;OCT 12-16, 2009;Daejeon, SOUTH KOREA;;;;;;;;;;;;;;;;;;;;;;0094-5765;;;;;NOV-DEC;2010;67;9-10;;;;;1025;1029;;10.1016/j.actaastro.2010.06.028;;;;;;;WOS:000281987800002;;;;;;
J;Donati, A;;;;Donati, Alessandro;;;Infusion of innovative technologies for mission operations;ACTA ASTRONAUTICA;;;;;60th International Astronautical Congress;OCT 12-16, 2009;Daejeon, SOUTH KOREA;;;;;;;;;;;;;;;;;;;;;;0094-5765;;;;;NOV-DEC;2010;67;9-10;;;;;1132;1137;;10.1016/j.actaastro.2010.06.023;;;;;;;WOS:000281987800015;;;;;;
J;"Karagiannis, G; Alexiadis, D; Damtsios, A; Sergiadis, G; Salpistis, C";;;;"Karagiannis, G.; Alexiadis, D.; Damtsios, A.; Sergiadis, G.; Salpistis, C.";;;Diffuse reflectance spectroscopic mapping imaging applied to art objects materials determination from 200 up to 5000 nm;REVIEW OF SCIENTIFIC INSTRUMENTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0034-6748;1089-7623;;;;NOV;2010;81;11;;;;;;;113104;10.1063/1.3497303;;;;;;;WOS:000285006500005;21133458;;;;;
