Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
S;Walton, D;;"McBurney, P; Rahwan, I; Parsons, S; Maudet, N";;Walton, Douglas;;;Burden of Proof in Deliberation Dialogs;ARGUMENTATION IN MULTI-AGENT SYSTEMS;Lecture Notes in Artificial Intelligence;;;;6th International Workshop on Argumentation in Multi-Agent Systems;MAY 12, 2009;Budapest, HUNGARY;;;;;The literature in argumentation and artificial intelligence has distinguished five types of burden of proof in persuasion dialogs, but there appears to have been no serious investigation so far on how burdens of proof should be modeled in deliberation dialogs. The work in this paper is directed toward filling that gap by extending existing formal models of deliberation dialog to analyze four examples of deliberation dialog where burden of proof is at issue or poses an interesting problem. The examples are used to show (1) that the eight stages in the formal model of Hitchcock, McBurney and Parsons (2007) need to be divided into three more general stages, an opening stage, an argumentation stage and a closing stage, (2) that deliberation dialog shifts to persuasion dialog during the argumentation stage, and (3) that burden of proof is only operative during the argumentation stage. What is shown in general is that deliberation is, in the typical type of case, a mixed dialog in which there is a shift to persuasion dialog in the middle.;;;;;;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-12804-2;;;;2010;6057;;;;;;1;22;;;;;;;;;WOS:000280471900001;;;;;;
S;"Morge, M; Mancarella, P";;"McBurney, P; Rahwan, I; Parsons, S; Maudet, N";;"Morge, Maxime; Mancarella, Paolo";;;Assumption-Based Argumentation for the Minimal Concession Strategy;ARGUMENTATION IN MULTI-AGENT SYSTEMS;Lecture Notes in Artificial Intelligence;;;;6th International Workshop on Argumentation in Multi-Agent Systems;MAY 12, 2009;Budapest, HUNGARY;;;;;Several recent works in the area of Artificial Intelligence focus on computational models of argumentation-based negotiation. However, even if computational models of arguments are used to encompass the reasoning of interacting agents, this logical approach does not come with an effective strategy for agents engaged in negotiations. In this paper we propose a realisation of the Minimal Concession (MC) strategy which has been theoretically validated. The main contribution of this paper is the integration of this intelligent strategy in a practical application by means of assumption-based argumentation. We claim here that the outcome of negotiations, which are guaranteed to terminate, is an optimal agreement (when possible) if the agents adopt the MC strategy.;;;;;MORGE, Maxime/0000-0003-2139-7150;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-12804-2;;;;2010;6057;;;;;;114;133;;;;;;;;;WOS:000280471900007;;;;;;
S;"Abi-Haidar, A; Rocha, LM";;"Hart, E; McEwan, C; Timmis, J; Hone, A";;"Abi-Haidar, Alaa; Rocha, Luis M.";;;Biomedical Article Classification Using an Agent-Based Model of T-Cell Cross-Regulation;ARTIFICIAL IMMUNE SYSTEMS;Lecture Notes in Computer Science;;;;9th International Conference on Artificial Immune Systems (ICARIS 2010);JUL 26-29, 2010;Edinburgh, SCOTLAND;Pervas Adaptat Network, Inst Informat & Digital Innovat;;;;We propose a novel bio-inspired solution for biomedical article classification. Our method draws from an existing model of T-cell cross-regulation in the vertebrate immune system (IS), which is a complex adaptive system of millions of cells interacting to distinguish between harmless and harmful intruders. Analogously, automatic biomedical article classification assumes that the interaction and co-occurrence of thousands of words in text can be used to identify conceptually-related classes of articles at a minimum, two classes with relevant and irrelevant articles for a given concept (e.g. articles with protein-protein interaction information). Our agent-based method for document classification expands the existing analytical model of Carneiro et al. [1], by allowing us to deal simultaneously with many distinct T-cell features (epitomes) and their collective dynamics using agent based modeling. We already extended this model to develop a bio-inspired spam-detection system [2, 3]. Here we develop our agent-base model further, and test it on a dataset of publicly available full-text biomedical articles provided by the BioCreative challenge [4]. We study several new parameter configurations leading to encouraging results comparable to state-of-the-art classifiers. These results help us understand both T-cell cross-regulation and its applicability to document classification in general. Therefore, we show that our bio-inspired algorithm is a promising novel method for biomedical article classification and for binary document classification in general.;;;;;Rocha, Luis/0000-0001-9402-887X;;;;;;;;;;;;0302-9743;;978-3-642-14546-9;;;;2010;6209;;;;;;237;+;;;;;;;;;WOS:000285700300019;;;;;;
S;"Mizutani, T; Igarashi, S; Suzuki, T; Ikeda, Y; Shio, M";;"Wang, FL; Deng, H; Gao, Y; Lei, JS";;"Mizutani, Tetsuya; Igarashi, Shigeru; Suzuki, Tatsuo; Ikeda, Yasuwo; Shio, Masayuki";;;A Realtime Human-Computer Ensemble System: Formal Representation and Experiments for Expressive Performance;ARTIFICIAL INTELLIGENCE AND COMPUTATIONAL INTELLIGENCE, PT I;Lecture Notes in Artificial Intelligence;;;;International Conference on Artificial Intelligence and Computational Intelligence (AICI);OCT 23-24, 2010;Sanya, PEOPLES R CHINA;Hainan Province Inst Comp, Qiongzhou Univ;;;;A human-computer ensemble system is one of time concerned cooperative systems, which performs secondo of an ensemble played by a computer-controlled piano cooperating with primo played by a human performer. For creating expressive performance, a rehearsal program is adopted to this system. By the rehearsal program, the system learns the tendency of the expression that the human performer thinks and/or plans. To do so, the program records his/her performance of solo and calculates the tendency, which depends on not only the performer but also the composition of music itself. Hence, it is necessary for the expressive performance to analyze the score of the composition and to experiment dependent on it. This system is an example of intelligent realtime programs appropriate for formal verification and analysis. N Sigma-labeled calculus is a formal system for verification for such time-concerned programs. In this paper, a logical specification and experimental results for an expressive ensemble system will be introduced.;;;;;;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-16529-0;;;;2010;6319;;;;;;256;+;;;;;;;;;WOS:000292891700031;;;;;;
S;Augustyniak, P;;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;Augustyniak, Piotr;;;Clinical Examples as Non-uniform Learning and Testing Sets;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT I;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;Clinical examples are widely used as learning and testing sets for newly proposed artificial intelligence-based classifiers of signals and images in medicine. The results obtained from testing are usually taken as an estimate of the behavior of automatic recognition system in presence of unknown input in the future. This paper investigates and discusses the, consequences of the non-uniform representation of the medical knowledge in such clinically-derived experimental sets. Additional challenges come from the nonlinear representation of the patient status in particular parameters' domain and from the uncertainty of the reference provided usually by human experts. The presented solution consists of representation of all available cases in multidimensional diagnostic parameters or patient status spaces. This provides the option for independent linearization of selected dimensions. The recruitment to the learning set is then based on the case-to-case distance as selection criterion. In result, the classifier may be trained and tested in a more suitable way to cope with unpredicted patterns.;;;;Augustyniak, Piotr/C-6448-2013;Augustyniak, Piotr/0000-0001-5986-3247;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-13207-0;;;;2010;6113;;;;;;581;588;;;;;;;;;WOS:000281606000072;;;;;;
S;"Pytel, K; Nawarycz, T";;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;"Pytel, Krzysztof; Nawarycz, Tadeusz";;;Analysis of the Distribution of Individuals in Modified Genetic Algorithms;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;The article presents the results of the analysis of the distribution of individuals in a modified genetic algorithm for solving function optimization problems. In the proposed modification of the genetic algorithm, we use the fuzzy logic controller (FLC). The authors proposed the PLC, which estimates all individuals in the population and modifies the probability of the selection to the parents' pool and the probability of the mutation of their genes. In the article we present the results of the analysis of the distribution of individuals in all generations of the algorithm. We compared the results of the elementary algorithm and the algorithm with the adaptation of the selection and mutation probabilities. The new algorithm has been tested on a number of sophisticated functions with satisfactory results.;;;;"Nawarycz, Tadeusz/W-4287-2018; Pytel, Krzysztof/R-9836-2018";"Nawarycz, Tadeusz/0000-0001-8103-4357; Pytel, Krzysztof/0000-0002-2937-7886";;;;;;;;;;;;0302-9743;;978-3-642-13231-5;;;;2010;6114;;;;;;197;+;;;;;;;;;WOS:000281548200024;;;;;;
S;"Kotulski, L; Sedziwy, A";;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;"Kotulski, Leszek; Sedziwy, Adam";;;Parallel Graph Transformations with Double Pushout Grammars;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;"Multiagent systems implementing artificial intelligence systems; require a formal representation to specify and simulate their properties and behavior. Double pushout graph grammars posses a very high expressive power; the possibility of the use of parallel graph transformations in a distributed environment make them useful in this area thanks to application of the complementary graphs concept. The mentioned idea is formally introduced and the polynomial computational complexity of underlying algorithms is proved.";;;;"Sedziwy, Adam/A-5538-2013; Kotulski, Leszek/C-8435-2013";"Sedziwy, Adam/0000-0002-2489-3726; Kotulski, Leszek/0000-0002-0164-0048";;;;;;;;;;;;0302-9743;;978-3-642-13231-5;;;;2010;6114;;;;;;280;288;;;;;;;;;WOS:000281548200034;;;;;;
S;"Grzanek, K; Cader, A";;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;"Grzanek, Konrad; Cader, Andrzej";;;Protrace: Effective Recursion Tracing and Debugging Library for Functional Programming Style in Common Lisp;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;Among programming styles the functional one has gained an increasing attention in the recent years. Lisp dialects and Common Lisp in particular have always been languages of choice for artificial intelligence systems implementation. Debugging functional algorithms based in the natural way on recursion and immutability is especially hard. This article presents a library that allows the programmer to mark and trace Common Lisp expressions evaluation.;;;;;;;;;;;;;;;;;0302-9743;;978-3-642-13231-5;;;;2010;6114;;;;;;468;475;;;;;;;;;WOS:000281548200057;;;;;;
S;"Irvine, D; Gongora, MA";;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;"Irvine, David; Gongora, Mario A.";;;CogBox - Combined Artificial Intelligence Methodologies to Achieve a Semi-realistic Agent in Serious Games;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;CogBox is a system created to demonstrate a theory on Artificially Intelligent Agents. This paper describes this theory, explaining how it improves upon existing AI Agents. We draw upon already well established AI concepts, such as Fuzzy Logic and the Belief, Desire, Intention model, as well as Finite State Machines and discuss their limitations. We present a novel combination of these techniques to overcome these limitations.;;;;Gongora, Mario/AAF-5761-2019;Gongora, Mario/0000-0002-7135-2092;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-13231-5;;;;2010;6114;;;;;;492;499;;;;;;;;;WOS:000281548200060;;;;;;
S;"Kacalak, W; Majewski, M; Zurada, JM";;"Rutkowski, L; Scherer, R; Tadeusiewicz, R; Zadeh, LA; Zurada, JM";;"Kacalak, Wojciech; Majewski, Maciej; Zurada, Jacek M.";;;Intelligent E-Learning Systems for Evaluation of User's Knowledge and Skills with Efficient Information Processing;ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II;Lecture Notes in Artificial Intelligence;;;;10th International Conference on Artificial Intelligence and Soft Computing (ICAISC 2010);JUN 13-17, 2010;Zakopane, POLAND;Polish Neural Network Soc, Acad Management, Czestochowa Univ Technol, Dept Comp Engn, IEEE Computat Intelligence Soc, Poland Chapter;;;;This paper presents a new concept of an e-learning system with intelligent two-way speech communication between the system and its users. Computational intelligence methods allow for analysis, evaluation and assessment of user's knowledge and skills and user's ability for efficient information processing. The system is also capable of control, supervision and optimization of the e-learning process. Developed as a prototype for mobile technologies, the communication system by speech and natural language between the e-learning system and external users consists of biometric user identification, speech recognition, word and sentence recognition, sentence meaning analysis, and user reaction assessment. Also discussed are selected new concepts of intelligent e-learning systems using speech communication. The discussion focuses on recognition and evaluation of spoken natural language sentences with hybrid neural networks.;;;;Majewski, Maciej/H-9489-2014;"Majewski, Maciej/0000-0003-1428-7244; Kacalak, Wojciech/0000-0003-2132-6010";;;;;;;;;;;;0302-9743;;978-3-642-13231-5;;;;2010;6114;;;;;;508;+;;;;;;;;;WOS:000281548200062;;;;;;
