Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
S;"Fiol-Roig, G; Miro-Julia, M; Herraiz, E";;"Perez, JB; Corchado, JM; Moreno, MN; Julian, V; Mathieu, P; CanadaBago, J; Ortega, A; Caballero, AF";;"Fiol-Roig, Gabriel; Miro-Julia, Margaret; Herraiz, Eduardo";;;Data Mining Techniques for Web Page Classification;HIGHLIGHTS IN PRACTICAL APPLICATIONS OF AGENTS AND MULTIAGENT SYSTEMS;Advances in Intelligent and Soft Computing;;;;9th International Conference on Practical Applications of Agents and Multi-Agent Systems;APR 06-08, 2011;Univ Salamanca, Salamanca, SPAIN;;Univ Salamanca;;;Nowadays, the Web is an essential tool for most people. Internet provides millions of web pages for each and every search term. The Internet is a powerful medium for communication between computers and accessing online documents but it is not a tool for locating or organizing information. Tools like search engines assist users in locating information. The amount of daily searches on the web is broad and the task of getting interesting and required results quickly becomes very difficult. The use of an automatic web page classifier can simplify the process by assisting the search engine in getting relevant results. The web pages can present different and varied information depending on the characteristics of its content. The uncontrolled nature of web content presents additional challenges to web page classification as compared to traditional text classification, but the interconnected nature of hypertext also provides features that can assist the process. This paper analyses the feasibility of an automatic web page classifier, proposes several classifiers and studies their precision. In this sense, Data Mining techniques are of great importance and will be used to construct the classifiers.;;;;;Miro-Julia, Margaret/0000-0002-9300-8698;;;;;;;;;;;;1867-5662;;978-3-642-19916-5;;;;2011;89;;;;;;61;68;;;;;;;;;WOS:000291368100008;;;;;;
S;"Qu, Y; Zhou, P";;"Zhang, H; Shen, G; Jin, D";;"Qu, Ying; Zhou, Pang";;;Approximate Inference Algorithm based on Adaptive Ant Colony and Artificial Fish Swarm Algorithm for Credal Networks;ADVANCED RESEARCH ON INFORMATION SCIENCE, AUTOMATION AND MATERIAL SYSTEM, PTS 1-6;Advanced Materials Research;;;;International Conference on Information Science, Automation and Material System;MAY 21-22, 2011;Zhengzhou, PEOPLES R CHINA;Int Sci & Educ Res Assoc, Yellow River Conservancy Tech Inst;;;;This paper presents a new algorithm for approximate inference in credal networks (that is, models based on directed acyclic graphs and interval-valued probabilities). Approximate inference in credal networks can be considered as multistage decision in this paper. It is looked as combinatorial optimization problems that obtaining the extreme posteriors from the combinations of various vertices in credal networks. Based on this, the paper combines two intelligence swarm algorithms (ant colony algorithm and artificial fish swarm algorithm) to obtain interval posterior probabilities of query variable for the states of given evidence variables.;;;;;;;;;;;;;;;;;1022-6680;;978-3-03785-081-7;;;;2011;219-220;;1-6;;;;1504;+;;10.4028/www.scientific.net/AMR.219-220.1504;;;;;;;WOS:000292631200325;;;;;;
S;"Huang, J; Guo, L; Wang, L; Qiu, Z";;Wu, YW;;"Huang, Jun; Guo, Liang; Wang, Le; Qiu, Zhao";;;The Study of Agent-based Distributed Computing;COMPONENTS, PACKAGING AND MANUFACTURING TECHNOLOGY;Key Engineering Materials;;;;International Conference on Components, Packaging and Manufacturing Technology;DEC 09-10, 2010;Sanya, PEOPLES R CHINA;Int Sci & Engn Ctr, Hong Kong & Wuhan Univ Sci & Technol;;;;On the basis of a case study of agent-based distributed computation, we develop a more integrative perspective on agent-based system theoretically and experientially. We construct a multi-agent system which exchange KQML message by a mobile agent based on IBM Aglet mobile developing platform and IBM JKQML.Compared with existing distributed computing model, our multi-agent example improves the computational efficiency.;;;;;;;;;;;;;;;;;1013-9826;;;;;;2011;460-461;;;;;;213;+;;10.4028/www.scientific.net/KEM.460-461.213;;;;;;;WOS:000292523800037;;;;;;
S;Zhou, ZG;;Wu, YW;;Zhou, Zhigang;;;The Relationship Between the Internet and Replication with PIONY;COMPONENTS, PACKAGING AND MANUFACTURING TECHNOLOGY;Key Engineering Materials;;;;International Conference on Components, Packaging and Manufacturing Technology;DEC 09-10, 2010;Sanya, PEOPLES R CHINA;Int Sci & Engn Ctr, Hong Kong & Wuhan Univ Sci & Technol;;;;Authenticated algorithms and 802.11 mesh networks have garnered limited interest from both systems engineers and system administrators in the last several years. Given the current status of event-driven modalities, theorists particularly desire the refinement of Web services, which embodies the confirmed principles of artificial intelligence. Here we concentrate our efforts on arguing that model checking can be made event-driven, permutable, and wearable.;;;;;;;;;;;;;;;;;1013-9826;;;;;;2011;460-461;;;;;;552;557;;10.4028/www.scientific.net/KEM.460-461.552;;;;;;;WOS:000292523800096;;;;;;
S;"Nunes, G; Cardoso, A; Santos, A; Gil, P";;CamarinhaMatos, LM;;"Nunes, Goncalo; Cardoso, Alberto; Santos, Amancio; Gil, Paulo";;;Multi-agent Topologies over WSANs in the Context of Fault Tolerant Supervision;TECHNOLOGICAL INNOVATION FOR SUSTAINABILITY;IFIP Advances in Information and Communication Technology;;;;2nd IFIP WG 5.5/SOCOLNET Doctoral Conference on Computing, Electrical and Industrial Systems;FEB 21-23, 2011;Costa de Caparica, PORTUGAL;Soc Collaborat Networks, IFIP WG 5.5 COVE CoOperation Infrastructure Virtual Enterprises & Elect Business, IEEE Ind Elect Soc, U2, Uninova;;;;Wireless Sensor and Actuator Networks can be used to detect and classify ephemeral distributed events, where different process components with different behaviours are involved. Agents implementing Distributed Artificial Intelligence techniques are a key value in improving the overall system's performance. This paper proposes a general WSAN Multi-Agent based architecture for robust supervision and fault tolerant control.;;;;"Cardoso, Alberto/O-2550-2019; Cardoso, Alberto J L/A-8696-2014; Gil, Paulo/J-7709-2019";"Cardoso, Alberto/0000-0003-1824-1075; Cardoso, Alberto J L/0000-0003-1824-1075; Gil, Paulo/0000-0003-0937-4044; Santos, Amancio/0000-0002-1347-2598";;;;;;;;;;;;1868-4238;1868-422X;"978-3-642-19170-1; 978-3-642-19169-5";;;;2011;349;;;;;;383;390;;;;;;;;;WOS:000292495500042;;;;;;
S;"Zin, ZM; Ibrahim, R";;Zhang, T;;"Zin, Zalhan Mohd; Ibrahim, Ratnawati";;;Vision Based Obstacles Recognition System for Automated Lawn Mower Robot Development;THIRD INTERNATIONAL CONFERENCE ON DIGITAL IMAGE PROCESSING (ICDIP 2011);Proceedings of SPIE;;;;3rd International Conference on Digital Image Processing (ICDIP 2011);APR 15-17, 2011;Chengdu, PEOPLES R CHINA;Int Assoc Comp Sci & Informat Technol, Singapore Inst Elect (SIE);;;;Digital image processing techniques (DIP) have been widely used in various types of application recently. Classification and recognition of a specific object using vision system require some challenging tasks in the field of image processing and artificial intelligence. The ability and efficiency of vision system to capture and process the images is very important for any intelligent system such as autonomous robot. This paper gives attention to the development of a vision system that could contribute to the development of an automated vision based lawn mower robot. The works involve on the implementation of DIP techniques to detect and recognize three different types of obstacles that usually exist on a football field. The focus was given on the study on different types and sizes of obstacles, the development of vision based obstacle recognition system and the evaluation of the system's performance. Image processing techniques such as image filtering, segmentation, enhancement and edge detection have been applied in the system. The results have shown that the developed system is able to detect and recognize various types of obstacles on a football field with recognition rate of more 80%.;;;;;Mohd Zin, Zalhan/0000-0003-2887-1679;;;;;;;;;;;;0277-786X;;978-0-81948-583-0;;;;2011;8009;;;;;;;;80092K;10.1117/12.896146;;;;;;;WOS:000292648900091;;;;;;
S;Hortos, WS;;"Blowers, M; ODonnell, TH; MendozaSchrock, OL";;Hortos, William S.;;;Combined bio-inspired/evolutionary computational methods in cross-layer protocol optimization for wireless ad hoc sensor networks;EVOLUTIONARY AND BIO-INSPIRED COMPUTATION: THEORY AND APPLICATIONS V;Proceedings of SPIE;;;;Conference on Evolutionary and Bio-Inspired Computation - Theory and Applications V;APR 27-28, 2011;Orlando, FL;SPIE;;;;"Published studies have focused on the application of one bio-inspired or evolutionary computational method to the functions of a single protocol layer in a wireless ad hoc sensor network (WSN). For example, swarm intelligence in the form of ant colony optimization (ACO), has been repeatedly considered for the routing of data/information among nodes, a network-layer function, while genetic algorithms (GAs) have been used to select transmission frequencies and power levels, physical-layer functions. Similarly, artificial immune systems (AISs) as well as trust models of quantized data reputation have been invoked for detection of network intrusions that cause anomalies in data and information; these act on the application and presentation layers. Most recently, a self-organizing scheduling scheme inspired by frog-calling behavior for reliable data transmission in wireless sensor networks, termed anti-phase synchronization, has been applied to realize collision-free transmissions between neighboring nodes, a function of the MAC layer. In a novel departure from previous work, the cross-layer approach to WSN protocol design suggests applying more than one evolutionary computational method to the functions of the appropriate layers to improve the QoS performance of the cross-layer design beyond that of one method applied to a single layer's functions. A baseline WSN protocol design, embedding GAs, anti-phase synchronization, ACO, and a trust model based on quantized data reputation at the physical, MAC, network, and application layers, respectively, is constructed. Simulation results demonstrate the synergies among the bio-inspired/evolutionary methods of the proposed baseline design improve the overall QoS performance of networks over that of a single computational method.";;;;;;;;;;;;;;;;;0277-786X;1996-756X;978-0-81948-633-2;;;;2011;8059;;;;;;;;80590Q;10.1117/12.884818;;;;;;;WOS:000292763600018;;;;;;
S;"Hadas, Z; Ondrusek, C; Kurfurst, J; Singule, V";;"Schmid, U; SanchezRojas, JL; LeesterSchaedel, M";;"Hadas, Z.; Ondrusek, C.; Kurfurst, J.; Singule, V.";;;Vibration Energy Harvester Optimization Using Artificial Intelligence;SMART SENSORS, ACTUATORS, AND MEMS V;Proceedings of SPIE;;;;Conference on Smart Sensors, Actuators, and MEMS V;APR 18-20, 2011;Prague, CZECH REPUBLIC;SPIE;;;;This paper deals with an optimization study of a vibration energy harvester. This harvester can be used as autonomous source of electrical energy for remote or wireless applications, which are placed in environment excited by ambient mechanical vibrations. The ambient energy of vibrations is usually on very low level but the harvester can be used as alternative source of energy for electronic devices with an expected low level of power consumption of several mW. The optimized design of the vibration energy harvester was based on previous development and the sensitivity of harvester design was improved for effective harvesting from mechanical vibrations in aeronautic applications. The vibration energy harvester is a mechatronic system which generates electrical energy from ambient vibrations due to precision tuning up generator parameters. The optimization study for maximization of harvested power or minimization of volume and weight are the main goals of our development. The optimization study of such complex device is complicated therefore artificial intelligence methods can be used for tuning up optimal harvester parameters.;;;;"Hadas, Zdenek/I-4299-2014; Singule, Vladislav/AAD-8109-2020";"Hadas, Zdenek/0000-0002-9097-1550; Singule, Vladislav/0000-0002-6677-5955";;;;;;;;;;;;0277-786X;1996-756X;978-0-81948-655-4;;;;2011;8066;;;;;;;;806611;10.1117/12.886383;;;;;;;WOS:000292764300035;;;;;;
S;"Tan, DP; Chen, ST; Wang, YC; Ji, SM";;"Jiang, ZY; Li, SQ; Zeng, JM; Liao, XP; Yang, DG";;"Tan, Dapeng; Chen, Shuting; Wang, Yingchun; Ji, Shiming";;;ICAI Realization Method for Parallel Robot Instruction;MANUFACTURING PROCESS TECHNOLOGY, PTS 1-5;Advanced Materials Research;;;;2nd International Conference on Manufacturing Science and Engineering;APR 09-11, 2011;Guilin, PEOPLES R CHINA;Guangxi Univ, Guilin Univ Elect Technol, Univ Wollongong, Korea Maritime Univ, Hong Kong Ind Technol Res Ctr;;;;This paper brought forward an intelligent computer aided instruction (ICAI) modeling method oriented to parallel robot instruction. According to the learning-origin structure of mechanical specialty students, the study process and cognition characteristics were analyzed, and the comparative research on their quality performance in parallel robot direction was carried out. The ICAI model was established oriented to parallel robot practical instruction combining machine learning and artificial intelligence method. Aiming at the basic instruction requirements of mechanical engineering specialty, the innovation mechanism of this area was researched, and the instruction strategies optimized and realization method were provided. Experiments proved that this method can simulate the implementation course of parallel robot instruction, and improve the instruction effects validly.;;;;"Ji, Shiming/G-5537-2011; Tan, Dapeng/G-9606-2012";Tan, Da-peng/0000-0002-6018-9648;;;;;;;;;;;;1022-6680;;978-3-03785-031-2;;;;2011;189-193;;;;;;3262;+;;10.4028/www.scientific.net/AMR.189-193.3262;;;;;;;WOS:000292279501292;;;;;;
S;"Chen, S; Wang, J";;"Zhang, H; Shen, G; Jin, D";;"Chen, Shuang; Wang, Jun";;;computer-aided design of the mine hoist spindle based on Case-Based Reasoning;ADVANCED RESEARCH ON INDUSTRY, INFORMATION SYSTEMS AND MATERIAL ENGINEERING, PTS 1-7;Advanced Materials Research;;;;International Conference on Industry, Information System and Material Engineering;APR 16-17, 2011;Guangzhou, PEOPLES R CHINA;Int Sci & Educ Res Assoc, Beijing Spon Res Inst, Beijing Gireida Educ Co Ltd;;;;CBR(Case-based reasoning)is an important research direction of artificial intelligence field,which start a new way for it. The mine hoist spindle is the most critical equipment to hoisting equipment. It is the main part of the machine which relates to the upgrading of equipment life. With the platform of Visual C++, we analysised the design methods of the mine hoist spindle based on CBR in this experiment. It will combine computer-aided design technology with artificial intelligence factors.;;;;;;;;;;;;;;;;;1022-6680;;978-3-03785-027-5;;;;2011;204-210;;1-7;;;;1880;1883;;10.4028/www.scientific.net/AMR.204-210.1880;;;;;;;WOS:000292846401058;;;;;;
S;"O'Brien, BM; McKay, TG; Xie, SQ; Calius, EP; Anderson, IA";;"BarCohen, Y; Carpi, F";;"O'Brien, Benjamin M.; McKay, Thomas G.; Xie, Sheng Q.; Calius, Emilio P.; Anderson, Iain A.";;;Dielectric elastomer memory;ELECTROACTIVE POLYMER ACTUATORS AND DEVICES (EAPAD) 2011;Proceedings of SPIE;;;;Conference on Electroactive Polymer Actuators and Devices (EAPAD) 2011;MAR 07-10, 2011;San Diego, CA;SPIE, Amer Soc Mech Engineers;;;;"Life shows us that the distribution of intelligence throughout flexible muscular networks is a highly successful solution to a wide range of challenges, for example: human hearts, octopi, or even starfish. Recreating this success in engineered systems requires soft actuator technologies with embedded sensing and intelligence. Dielectric Elastomer Actuator(s) (DEA) are promising due to their large stresses and strains, as well as quiet flexible multimodal operation. Recently dielectric elastomer devices were presented with built in sensor, driver, and logic capability enabled by a new concept called the Dielectric Elastomer Switch(es) (DES). DES use electrode piezoresistivity to control the charge on DEA and enable the distribution of intelligence throughout a DEA device. In this paper we advance the capabilities of DES further to form volatile memory elements. A set reset flip-flop with inverted reset line was developed based on DES and DEA. With a 3200V supply the flip-flop behaved appropriately and demonstrated the creation of dielectric elastomer memory capable of changing state in response to 1 second long set and reset pulses. This memory opens up applications such as oscillator, de-bounce, timing, and sequential logic circuits; all of which could be distributed throughout biomimetic actuator arrays. Future work will include miniaturisation to improve response speed, implementation into more complex circuits, and investigation of longer lasting and more sensitive switching materials.";;;;;"Xie, Shane (Sheng Q.)/0000-0003-2641-2620; Calius, Emilio/0000-0001-6221-2779";;;;;;;;;;;;0277-786X;1996-756X;978-0-89418-538-0;;;;2011;7976;;;;;;;;797621;10.1117/12.880718;;;;;;;WOS:000294254200060;;;;;;
S;"Efendioglu, HS; Yildirim, T; Toker, O";;"Ecke, W; Peters, KJ; Matikas, TE";;"Efendioglu, Hasan S.; Yildirim, Tulay; Toker, Onur";;;Advanced Image Processing and Artificial Intelligence Based Approaches to Fiber Optic Statistical Mode Sensor Design;SMART SENSOR PHENOMENA, TECHNOLOGY, NETWORKS, AND SYSTEMS 2011;Proceedings of SPIE;;;;Conference on Smart Sensor Phenomena, Technology, Networks, and Systems;MAR 07-09, 2011;San Diego, CA;SPIE;;;;"In this paper, we consider advanced image processing and artificial intelligence based techniques for design of fiber optic statistical mode sensors. Output from an optical fiber exhibits a speckle pattern when projected on a flat surface, and intensity, size, and location of these speckles do change with external effects like pressure, temperature, vibration, etc. Statistical mode sensors reported in the literature use global image differencing or global correlation like approaches for sensor design. Namely, lots of localized information in the image is not taken into account, instead global difference and/or correlation are used for sensor construction. We propose the use of localized information with image processing techniques; generate more features, and analysis of these via artificial intelligence based methods. In this way, we can capture more information from the speckle pattern distribution, and hence design a better sensor.";;;;"YILDIRIM, Tulay/A-6996-2018; Yildirim, Tulay/P-1481-2019; YILDIRIM, Tulay/ABE-7368-2020";"YILDIRIM, Tulay/0000-0001-9993-5583; YILDIRIM, Tulay/0000-0001-9993-5583";;;;;;;;;;;;0277-786X;1996-756X;978-0-81948-544-1;;;;2011;7982;;;;;;;;79820T;10.1117/12.880054;;;;;;;WOS:000294474000023;;;;;;
S;"He, L; Yu, CP; Wang, L";;"Amzajerdian, F; Chen, W; Gao, C; Xie, T";;"He Lei; Yu Chun-ping; Wang Li";;;Handheld Laser Scanner Automatic registration based on random coding;INTERNATIONAL SYMPOSIUM ON PHOTOELECTRONIC DETECTION AND IMAGING 2011: LASER SENSING AND IMAGING AND BIOLOGICAL AND MEDICAL APPLICATIONS OF PHOTONICS SENSING AND IMAGING;Proceedings of SPIE;;;;International Symposium on Photoelectronic Detection and Imaging 2011 - Laser Sensing and Imaging and Biological and Medical Applications of Photonics Sensing and Imaging;MAY 24-26, 2011;Beijing, PEOPLES R CHINA;SPIE, Photoelect Technol Profess Comm, CSA, Tianjin Jinhang Inst Tech Phys, CASIC, Sci & Technol Low Light Level Night Vision Lab, Chinese Soc Astronaut;;;;Current research on Laser Scanner often focuses mainly on the static measurement. Little use has been made of dynamic measurement, that are appropriate for more problems and situations. In particular, traditional Laser Scanner must Keep stable to scan and measure coordinate transformation parameters between different station. In order to make the scanning measurement intelligently and rapidly, in this paper, we developed a new registration algorithm for handleheld laser scanner based on the positon of target, which realize the dynamic measurement of handheld laser scanner without any more complex work. the double camera on laser scanner can take photograph of the artificial target points to get the three-dimensional coordinates, this points is designed by random coding. And then, a set of matched points is found from control points to realize the orientation of scanner by the least-square common points transformation. After that the double camera can directly measure the laser point cloud in the surface of object and get the point cloud data in an unified coordinate system. There are three major contributions in the paper. Firstly, a laser scanner based on binocular vision is designed with double camera and one laser head. By those, the real-time orientation of laser scanner is realized and the efficiency is improved. Secondly, the coding marker is introduced to solve the data matching, a random coding method is proposed. Compared with other coding methods, the marker with this method is simple to match and can avoid the shading for the object. Finally, a recognition method of coding maker is proposed, with the use of the distance recognition, it is more efficient. The method present here can be used widely in any measurement from small to huge obiect, such as vehicle, airplane which strengthen its intelligence and efficiency. The results of experiments and theory analzing demonstrate that proposed method could realize the dynamic measurement of handheld laser scanner. Theory analysis and experiment shows the method is reasonable and efficient.;;;;;;;;;;;;;;;;;0277-786X;;978-0-81948-833-6;;;;2011;8192;;1;;;;;;81921X;10.1117/12.900262;;;;;;;WOS:000295055800068;;;;;;
S;"Gan, Y; Zhong, JR; Sun, N; Sun, AR";;"Ikeda, M; Wu, N; Zhang, G; Ai, K";;"Gan Yong; Zhong Jingru; Sun Ning; Sun Aoran";;;Reverse Engineering of the Homogeneous-Entity Product Profiles Based on CCD;INTERNATIONAL SYMPOSIUM ON PHOTOELECTRONIC DETECTION AND IMAGING 2011: ADVANCES IN IMAGING DETECTORS AND APPLICATIONS;Proceedings of SPIE;;;;International Symposium on Photoelectronic Detection and Imaging 2011 - Advances in Imaging Detectors and Applications;MAY 24-26, 2011;Beijing, PEOPLES R CHINA;Photoelect Technol Profess Comm, CSA, Tianjin Jinhang Inst Tech Phys, CASIC, Sci & Technol Low Light Level Night Vis Lab, Chinese Soc Astronaut, SPIE;;;;This measurement system uses delaminated measurement principle, measures the three perpendicular direction values of the entities. When the measured entity is immerged in the liquid layer by layer, every layer's image are collected by CCD and digitally processed. It introduces the basic measuring principle and the working process of the measure method. According to Archimedes law, the related buoyancy and volume that soaked in different layer's depth are measured by electron balance and the mathematics models are established. Through calculating every layer's weight and centre of gravity by computer based on the method of Artificial Intelligence, we can reckon 3D coordinate values of every minute entity cell in different layers and its 3D contour picture is constructed. The experimental results show that for all the homogeneous entity insoluble in water, it can measure them. The measurement velocity is fast and non-destructive test, it can measure the entity with internal hole.;;;;;;;;;;;;;;;;;0277-786X;;978-0-81948-835-0;;;;2011;8194;;;;;;;;81940T;10.1117/12.899307;;;;;;;WOS:000295076300028;;;;;;
S;Yamakami, T;;"Jansen, K; SolisOba, R";;Yamakami, Tomoyuki;;;Approximate Counting for Complex-Weighted Boolean Constraint Satisfaction Problems;APPROXIMATION AND ONLINE ALGORITHMS;Lecture Notes in Computer Science;;;;8th Workshop on Approximation and Online Algorithms;SEP 09-10, 2010;Univ Liverpool, Liverpool, ENGLAND;Univ Liverpool, Int Soc Computat Biol (ISCB), London Math Soc, European Assoc Theoret Comp Sci;Univ Liverpool;;;"Constraint satisfaction problems (or CSPs) have been extensively studied in, e.g., artificial intelligence, database theory, graph theory, and statistical physics. A practical application often requires only all approximate value of the total number of assignments that satisfy all given Boolean constraints. There is a known trichotomy theorem for such approximate counting for (non-weighted) Boolean CSPs; namely, all such counting problems are neatly classified into three categories under polynomial-time approximation-preserving reductions. We extend this result to approximate counting for complex-weighted Boolean CSPs, provided that all unary constraints are freely available to use. This marks a significant progress in the quest for the approximation classification of all counting Boolean CSPs. To deal with complex weights, we employ proof techniques along the line of solving Holant problems. Our result also gives an approximation version of the known dichotomy theorem of the complexity of exact. counting for such complex-weighted Boolean CSPs.";;;;;;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-18317-1;;;;2011;6534;;;;;;261;272;;;;;;;;;WOS:000296363200023;;;;;;
